text_a	label
山 ， 男 ， 7 3 岁 ， 汉 族 ， 已 婚 ， 现 住 双 滦 区 陈 栅 子 乡 太 阳 沟 村 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
主 因 左 侧 肢 体 活 动 不 灵 伴 言 语 不 利 3 天 于 2 0 1 6 - 3 - 2 4	O O B-BodyPart I-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom I-Symptom I-Symptom O B-Symptom I-Symptom I-Symptom I-Symptom O O O O O O O O O O O O
1 4 ： 0 8 入 院 。	O O O O O O O O
左 上 肢 、 腰 痛 及 双 下 肢 疼 痛 不 适 3 小 时 于 2 0 1 6 - 1 1 - 2 8	B-BodyPart I-BodyPart I-BodyPart O B-Symptom I-Symptom O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O
1 3 : 4 8 入 院 。	O O O O O O O O
下 腹 疼 痛 1 天 于 2 0 1 7 - 0 3 - 0 8 ； 1 8 ： 4 0 入 院 。	B-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O
， 主 因 肛 门 肿 痛 1 天 入 院	O O O B-BodyPart I-BodyPart B-Symptom I-Symptom O O O O
女 性 ， 5 0 岁 ， 河 北 省 承 德 市 双 滦 区 人 ， 现 住 承 德 市 双 滦 区 双 塔 山 镇 锦 绣 城 ， 主 因 外 伤 后 头 痛 、 头 晕 伴 左 肩 部 疼 痛 、 活 动 受 限 2 小 时 于 2 0 1 6 - 1 1 - 6 日 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O
， 8 0 岁 ， 现 住 双 滦 区 ， 主 因 间 断 咳 嗽 、 咳 痰 、 喘 憋 2 0 余 年 ， 腹 胀 3 天 于 2 0 1 7 - 2 - 2 7	O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O B-Symptom I-Symptom O O O O O O O O O O O O
1 4 ： 5 0 入 院 。	O O O O O O O O
尿 困 难 2 年 于 2 0 1 7 - 0 2 - 1 4 入 院 。	O O O O O O O O O O O O O O O O O O O
折 术 后 骨 性 愈 合 2 年 于 2 0 1 6 - 0 8 - 3 0	O O O O O O O O O O O O O O O O O O O O
1 1 ： 1 1 入 院 。	O O O O O O O O
沟 可 复 性 肿 物 1 个 月 余 。	O O O O B-Symptom I-Symptom O O O O O
右 侧 腰 部 疼 痛 1 0 余 天 于 2 0 1 6 - - 0 9 - - 0 5	B-BodyPart I-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O
1 0 : 4 5 收 入 院 。	O O O O O O O O O
男 性 ， 7 6 岁 ， 现 住 双 滦 区 双 塔 山 农 行 开 发 楼 。	O O O O O O O O O O O O O O O O O O O O O
主 因 发 作 性 头 晕 一 年 ， 加 重 2 小 时 ， 于 2 0 1 6 - 4 - 4	O O O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O
1 6 ： 1 5 入 院 。	O O O O O O O O
